Date,TimeOfDay,AppCategory,DailyUsage,SessionUsage,,daily usage: cumulative of session usage
10/27/2025,14,social,79,23,,
10/27/2025,15,social,93,14,,
10/27/2025,16,social,114,21,,
10/27/2025,17,social,123,9,,
10/27/2025,18,social,132,9,,
10/27/2025,19,social,134,2,,
10/27/2025,20,social,139,5,,
10/27/2025,21,social,139,0,,
10/27/2025,22,social,146,7,,
10/27/2025,23,social,174,28,,
10/27/2025,0,entertainment,0,0,,
10/27/2025,1,entertainment,0,0,,
10/27/2025,2,entertainment,0,0,,
10/27/2025,3,entertainment,0,0,,
10/27/2025,4,entertainment,0,0,,
10/27/2025,5,entertainment,0,0,,
10/27/2025,6,entertainment,0,0,,
10/27/2025,7,entertainment,7,7,,
10/27/2025,8,entertainment,17,10,,
10/27/2025,9,entertainment,18,1,,
10/27/2025,10,entertainment,18,0,,
10/27/2025,11,entertainment,18,0,,
10/27/2025,12,entertainment,18,0,,
10/27/2025,13,entertainment,23,5,,
10/27/2025,14,entertainment,49,26,,
10/27/2025,15,entertainment,50,1,,
10/27/2025,16,entertainment,50,0,,
10/27/2025,17,entertainment,53,3,,
10/27/2025,18,entertainment,63,10,,
10/27/2025,19,entertainment,68,5,,
10/27/2025,20,entertainment,88,20,,
10/27/2025,21,entertainment,105,17,,
10/27/2025,22,entertainment,105,0,,
10/27/2025,23,entertainment,105,0,,
10/27/2025,0,others,0,0,,
10/27/2025,1,others,0,0,,
10/27/2025,2,others,0,0,,
10/27/2025,3,others,0,0,,
10/27/2025,4,others,0,0,,
10/27/2025,5,others,0,0,,
10/27/2025,6,others,0,0,,
10/27/2025,7,others,0,0,,
10/27/2025,8,others,30,30,,
10/27/2025,9,others,30,0,,
10/27/2025,10,others,30,0,,
10/27/2025,11,others,30,0,,
10/27/2025,12,others,30,0,,
10/27/2025,13,others,30,0,,
10/27/2025,14,others,30,0,,
10/27/2025,15,others,30,0,,
10/27/2025,16,others,30,0,,
10/27/2025,17,others,30,0,,
10/27/2025,18,others,30,0,,
10/27/2025,19,others,30,0,,
10/27/2025,20,others,30,0,,
10/27/2025,21,others,30,0,,
10/27/2025,22,others,30,0,,
10/27/2025,23,others,30,0,,
10/28/2025,0,social,60,60,,
10/28/2025,1,social,60,0,,
10/28/2025,2,social,60,0,,
10/28/2025,3,social,60,0,,
10/28/2025,4,social,60,0,,
10/28/2025,5,social,60,0,,
10/28/2025,6,social,60,0,,
10/28/2025,7,social,67,7,,
10/28/2025,8,social,67,0,,
10/28/2025,9,social,67,0,,
10/28/2025,10,social,75,8,,
10/28/2025,11,social,81,6,,
10/28/2025,12,social,84,3,,
10/28/2025,13,social,93,9,,
10/28/2025,14,social,93,0,,
10/28/2025,15,social,93,0,,
10/28/2025,16,social,93,0,,
10/28/2025,17,social,99,6,,
10/28/2025,18,social,108,9,,
10/28/2025,19,social,108,0,,
10/28/2025,20,social,108,0,,
10/28/2025,21,social,116,8,,
10/28/2025,22,social,141,25,,
